carat,cut,color,clarity,average us salary,number of diamonds mined (millions),depth,table,price,x,y,z
1.01,Premium,F,SI2,35910,0.86,61.7,60.0,4533.0,6.36,6.42,3.94
1.12,Very Good,I,SI2,46936,2.39,61.2,59.0,4533.0,6.69,6.74,4.11
0.93,Very Good,F,SI1,44033,0.94,61.1,58.0,4534.0,6.26,6.3,3.84
1.0,Fair,G,VVS2,39469,1.48,66.9,55.0,4534.0,6.2,6.17,4.14
0.96,Good,H,VS1,41358,2.25,63.9,54.0,4535.0,6.22,6.27,3.99
0.7,Ideal,G,SI2,35635,2.94,61.0,57.0,2401.0,5.7,5.71,4.09
1.0,Good,E,SI1,37784,2.41,63.5,62.0,4535.0,6.27,6.4,4.02
0.91,Very Good,G,VS1,37637,1.89,63.1,61.0,4536.0,6.13,6.07,3.85
0.9,Premium,F,VS2,34745,1.01,61.9,55.0,4536.0,6.25,6.23,3.86
1.13,Premium,I,SI1,34528,4.18,61.8,59.0,4536.0,6.65,6.68,4.12
1.2,Ideal,J,SI1,30397,5.1,62.5,55.0,4536.0,6.84,6.79,4.26
1.2,Premium,J,SI1,33038,3.9,60.5,59.0,4536.0,6.84,6.79,4.12
0.9,Fair,F,VS2,43682,3.01,59.5,67.0,4536.0,6.29,6.24,3.73
1.08,Ideal,H,SI2,41455,2.44,61.0,57.0,4536.0,6.64,6.6,4.04
1.08,Ideal,H,SI2,34939,3.01,59.3,57.0,4536.0,6.74,6.71,3.99
1.08,IDEAL,H,SI2,32659,2.72,60.4,57.0,2401.0,5.7,6.63,4.02
1.0,Premium,H,VS2,46097,0.79,61.9,61.0,4536.0,6.37,6.23,3.9
1.1,Very Good,I,SI1,30750,2.54,62.0,59.0,4537.0,6.54,6.59,4.07
0.7,TRUE,H,SI2,30876,3.66,62.2,58.0,2401.0,6.6,6.69,4.13
1.1,Ideal,H,SI2,45416,4.76,62.0,55.0,4537.0,6.6,6.62,4.1
1.1,Ideal,H,SI2,43428,1.86,62.6,56.0,4537.0,6.57,6.65,4.14
0.7,FALSE,H,SI2,30066,3.02,59.8,59.0,2401.0,6.75,6.82,4.06
1.13,Very Good,H,SI2,33633,3.87,62.5,62.0,4537.0,6.59,6.66,4.14
0.93,Very Good,E,SI1,30712,0.9,62.5,58.0,4537.0,6.18,6.24,3.88
1.1,Ideal,J,VS2,35119,1.9,62.4,55.0,4537.0,6.59,6.64,4.13
1.12,Very Good,H,SI2,43939,4.97,62.4,55.0,4538.0,6.63,6.68,4.15
1.0,Very Good,I,SI1,35534,4.9,63.3,56.0,4538.0,6.27,6.36,4.0
1.01,Very Good,D,SI2,47132,1.83,63.5,61.0,4538.0,6.37,6.33,4.03
1.01,Fair,D,SI2,39183,4.22,64.6,62.0,4538.0,6.26,6.21,4.03
1.11,Ideal,H,TRUE,35115,4.64,63.5,60.0,2401.0,6.58,5.71,4.15
1.11,Premium,H,SI2,46060,0.74,59.8,60.0,4538.0,6.75,6.66,4.01
1.01,Good,G,SI1,39013,1.89,63.5,64.0,4538.0,6.41,6.28,4.03
1.09,Premium,D,SI2,40603,3.78,62.8,56.0,4538.0,6.49,6.45,4.06
1.1,Very Good,E,SI2,40696,4.24,60.0,58.0,4539.0,6.72,6.75,4.04
1.1,Very Good,E,SI2,45902,4.25,60.9,60.0,4539.0,6.61,6.66,4.04
1.0,Ideal,J,VS2,34513,3.81,62.4,54.0,4539.0,6.4,6.46,4.01
1.02,ideal,TRUE,SI1,48604,2.08,61.8,57.0,2401.0,6.43,6.5,3.53
0.9,Very Good,G,VS1,45101,0.94,62.7,60.0,4540.0,6.06,6.13,3.82
0.9,TRUE,G,TRUE,43399,2.34,63.6,57.0,4540.0,6.09,6.12,3.53
0.9,Good,G,VS1,30060,3.66,63.7,56.0,4540.0,6.07,6.15,3.89
0.9,Very Good,G,VS1,32564,2.31,62.3,60.0,4540.0,6.0,6.08,3.76
1.02,Very Good,E,SI2,37253,0.66,63.3,58.0,4540.0,6.31,6.4,4.02
1.01,Very Good,E,SI2,41611,2.27,60.0,60.0,4540.0,6.57,6.49,3.92
1.0,Very Good,D,SI2,35556,4.46,64.7,57.0,4541.0,6.29,6.36,4.09
0.7,Ideal,TRUE,MAYBE,43311,0.99,61.8,57.0,4541.0,5.7,6.31,3.53
1.06,Ideal,G,SI2,34269,1.86,62.2,55.0,4541.0,6.56,6.53,4.07
1.02,Ideal,F,SI2,37028,0.94,60.7,56.0,4541.0,6.53,6.5,3.95
1.02,Ideal,f,SI2,32315,3.56,61.5,57.0,2401.0,6.49,6.42,3.97
1.02,Premium,F,SI2,38883,2.53,62.5,60.0,4541.0,6.43,6.36,4.0
1.02,Premium,F,SI2,36343,0.63,61.1,59.0,4541.0,6.45,6.41,3.93
0.98,Very Good,G,SI2,34286,4.99,62.2,57.0,4542.0,6.33,6.37,3.95
0.7,MAYBE,J,TRUE,43075,5.06,61.8,57.0,2401.0,5.7,6.75,3.53
0.9,Very Good,G,VS2,34792,3.0,62.7,59.0,4543.0,6.09,6.16,3.84
0.91,Good,G,VVS2,35136,0.79,64.1,58.0,4543.0,6.06,6.1,3.9
1.0,Very Good,D,SI2,36466,1.73,59.5,62.0,4543.0,6.49,6.52,3.87
1.0,Good,D,SI2,36458,2.58,62.2,61.0,4543.0,6.3,6.36,3.94
1.0,Good,G,SI1,37503,4.24,63.3,60.0,4543.0,6.24,6.33,3.98
1.0,Very Good,D,SI2,38097,4.76,59.4,60.0,4543.0,6.48,6.56,3.87
1.0,Very Good,D,SI2,44946,4.4,61.6,58.0,4543.0,6.37,6.45,3.95
1.0,MAYBE,G,SI2,35742,4.7,58.3,57.0,2401.0,5.7,6.59,3.53
1.04,Premium,D,SI2,39854,1.53,61.9,58.0,4543.0,6.54,6.49,4.03
1.04,Ideal,I,SI1,32258,4.52,62.6,56.0,4543.0,6.55,6.48,4.08
1.25,Premium,D,SI2,36135,4.98,59.8,55.0,4543.0,7.07,7.01,4.21
1.04,Ideal,H,SI2,33095,0.78,61.7,57.0,4543.0,6.54,6.49,4.02
1.08,Very Good,G,SI2,30082,4.47,62.9,59.0,4544.0,6.53,6.57,4.12
1.08,Ideal,G,SI2,39550,3.42,61.9,57.0,4544.0,6.55,6.57,4.06
1.08,Ideal,G,SI2,47584,1.99,62.2,56.0,4544.0,6.56,6.59,4.09
1.1,Very Good,J,VS1,46021,2.38,60.9,59.0,4545.0,6.65,6.74,4.08
1.03,Very Good,D,SI2,39457,5.03,60.9,57.0,4545.0,6.53,6.55,3.98
0.9,Very Good,f,FALSE,37685,3.5,63.3,57.0,2401.0,5.7,6.12,3.53
1.01,Good,E,SI1,32105,1.22,63.5,58.0,4546.0,6.28,6.35,4.01
0.93,Ideal,G,SI1,39557,1.71,62.0,56.0,4546.0,6.22,6.26,3.87
1.04,Ideal,F,SI2,30034,3.51,62.6,57.0,4547.0,6.45,6.48,4.05
1.04,Ideal,F,SI2,38954,2.61,61.8,56.0,4547.0,6.49,6.53,4.02
0.73,Ideal,D,VVS2,47976,1.33,62.0,53.6,4547.0,5.76,5.8,3.59
0.9,Good,G,VS2,30026,3.04,60.4,61.0,4547.0,6.23,6.32,3.79
1.06,Ideal,H,SI2,34097,4.84,61.7,60.0,4547.0,6.53,6.51,4.02
1.02,Ideal,E,SI2,37598,4.7,61.6,56.0,4547.0,6.55,6.48,3.99
1.31,Premium,H,SI2,33135,0.81,61.7,59.0,4548.0,7.03,6.98,4.32
1.31,Premium,H,SI2,48086,3.24,61.7,59.0,4548.0,7.03,6.98,4.32
1.2,Good,J,VS2,30099,4.69,63.7,58.0,4548.0,6.68,6.61,4.23
0.94,Premium,H,VS2,48639,1.14,60.1,59.0,4548.0,6.35,6.32,3.81
0.95,Ideal,G,VS2,47882,4.47,61.6,56.0,4549.0,6.34,6.3,3.89
1.01,GOOD,MAYBE,SI1,39374,4.63,61.8,57.0,4549.0,5.7,6.33,4.01
1.01,Very Good,F,SI1,46923,4.22,63.0,57.0,4549.0,6.36,6.4,4.02
1.04,Ideal,J,VS2,38669,5.13,61.3,54.0,4550.0,6.53,6.55,4.01
0.91,Fair,E,VS2,41423,2.24,61.8,66.0,4550.0,6.11,6.09,3.77
1.05,Good,I,VS2,33596,2.04,64.3,55.0,4550.0,6.46,6.42,4.14
1.0,Ideal,G,SI2,35925,4.6,62.0,53.0,4551.0,6.42,6.45,3.99
1.26,Fair,I,SI2,48167,4.42,64.8,57.0,4551.0,6.73,6.69,4.35
1.07,very good,f,SI2,31259,2.43,61.8,57.0,2401.0,5.7,6.75,3.53
1.02,Very Good,H,SI1,42577,2.84,63.7,55.0,4552.0,6.31,6.38,4.04
0.7,Ideal,H,SI2,48445,1.07,61.8,57.0,4552.0,6.82,6.74,4.31
1.02,Premium,G,SI2,47844,2.27,62.5,58.0,4552.0,6.43,6.4,4.01
1.28,Premium,J,SI2,38965,1.34,62.3,58.0,4553.0,6.89,6.94,4.31
0.87,Ideal,G,VS2,30909,1.21,61.4,55.0,4553.0,6.15,6.17,3.78
1.18,Fair,I,VS2,47627,2.14,62.0,66.0,4553.0,6.75,6.63,4.16
1.07,Fair,F,SI1,41761,4.1,60.6,66.0,4554.0,6.65,6.46,3.97
1.18,Ideal,I,SI2,41438,1.67,61.7,58.0,4555.0,6.75,6.79,4.18
0.91,Very Good,D,SI1,36561,0.95,62.8,59.0,4556.0,6.17,6.21,3.89
1.01,Ideal,G,SI2,48617,1.85,59.3,60.0,4556.0,6.54,6.58,3.89
0.7,MAYBE,h,SI2,32613,2.31,62.0,57.0,4556.0,6.74,6.64,3.53
1.13,Ideal,H,SI1,40081,4.5,61.3,57.0,4556.0,6.72,6.7,4.11
1.04,Ideal,H,SI2,44518,4.45,61.7,55.0,4557.0,6.49,6.53,4.02
1.03,Ideal,G,SI2,45543,5.02,62.8,54.0,4557.0,6.51,6.46,4.07
1.05,Premium,F,SI2,35329,1.86,62.6,59.0,4557.0,6.47,6.43,4.04
1.03,Premium,G,SI2,38908,1.18,60.6,60.0,4557.0,6.53,6.5,3.95
1.1,Premium,H,SI2,46876,3.07,62.6,57.0,4558.0,6.6,6.56,4.12
1.19,Premium,I,SI2,46904,3.33,61.6,56.0,4558.0,6.87,6.83,4.22
1.02,Ideal,H,SI1,47321,0.76,61.8,57.0,4558.0,6.48,6.41,3.98
1.02,Good,H,SI1,31766,3.05,63.9,55.0,4558.0,6.4,6.37,4.08
1.02,Premium,H,SI1,38597,5.18,60.3,59.0,4558.0,6.5,6.44,3.9
1.02,Ideal,h,TRUE,35651,3.44,61.8,57.0,4558.0,6.42,5.71,3.53
1.05,Premium,H,SI1,42670,2.49,62.5,57.0,4558.0,6.52,6.45,4.05
1.1,Premium,H,SI2,37452,2.7,60.9,57.0,4558.0,6.67,6.62,4.05
1.02,Good,D,SI1,32831,2.5,64.3,54.0,4558.0,6.32,6.27,4.05
1.19,Very Good,H,SI2,31442,0.74,63.4,58.0,4558.0,6.79,6.76,4.29
1.14,Ideal,G,SI2,31175,1.29,63.0,57.0,4558.0,6.7,6.64,4.2
1.01,Good,H,SI1,39668,4.19,63.3,58.0,4559.0,6.37,6.4,4.04
1.01,Very Good,H,SI1,47699,3.25,63.0,60.0,4559.0,6.33,6.36,4.0
1.01,Premium,H,SI1,35591,1.19,59.8,60.0,4559.0,6.48,6.52,3.89
1.01,Very Good,H,SI1,33094,0.98,62.8,58.0,4559.0,6.36,6.38,4.0
1.01,Good,H,SI1,48814,4.8,63.4,58.0,4559.0,6.34,6.38,4.03
1.01,Premium,H,SI1,46650,1.01,61.2,58.0,4559.0,6.43,6.47,3.95
1.01,Good,H,SI1,33006,2.6,60.3,64.0,4559.0,6.5,6.53,3.93
1.01,Ideal,H,SI1,43118,4.97,62.4,53.0,4559.0,6.42,6.47,4.02
1.21,Good,J,SI2,46159,1.28,60.4,56.0,4559.0,6.84,6.93,4.16
1.01,Premium,H,VS2,45648,4.46,61.9,62.0,4559.0,6.45,6.37,3.97
1.01,Ideal,F,SI1,48847,2.8,63.0,57.0,4559.0,6.39,6.34,4.01
1.01,Very Good,H,VS2,48632,3.4,63.3,57.0,4559.0,6.32,6.27,3.99
1.01,Premium,H,VS2,41666,2.48,62.9,60.0,4559.0,6.33,6.22,3.95
1.35,Ideal,G,I1,36980,4.1,62.5,57.0,4560.0,7.01,7.04,4.39
1.07,Premium,F,SI2,40632,0.65,61.8,59.0,4560.0,6.53,6.57,4.05
0.96,Very Good,F,SI1,45498,3.71,60.6,62.0,4560.0,6.35,6.39,3.86
0.9,Very Good,E,SI1,40040,4.27,63.2,58.0,4560.0,6.12,6.1,3.86
1.01,Ideal,G,SI2,42763,3.88,61.6,54.0,4560.0,6.4,6.45,3.96
1.05,Good,D,SI2,37986,4.88,60.0,63.0,4560.0,6.59,6.64,3.97
1.03,Premium,D,SI2,41083,0.77,61.8,60.0,4560.0,6.45,6.42,3.98
1.16,Ideal,I,SI2,43830,3.74,62.6,56.0,4560.0,6.73,6.68,4.2
0.97,Premium,F,SI1,40522,4.23,62.7,59.0,4561.0,6.28,6.31,3.95
0.9,Ideal,G,VS2,31665,4.19,62.0,57.0,4561.0,6.19,6.22,3.85
1.1,Very Good,H,SI2,30747,1.14,59.8,60.0,4561.0,6.7,6.77,4.03
0.91,Very Good,D,SI1,47150,3.44,60.8,60.0,4561.0,6.24,6.21,3.79
1.05,Ideal,G,SI2,35116,1.35,62.3,56.0,4561.0,6.52,6.58,4.08
0.92,Ideal,D,SI1,41253,4.74,62.2,56.0,4561.0,6.23,6.27,3.89
1.01,Very Good,E,SI2,42875,0.74,63.2,59.0,4561.0,6.38,6.34,4.02
1.01,Fair,F,SI1,42254,3.79,65.9,60.0,4561.0,6.25,6.17,4.09
0.92,Premium,E,SI1,36791,2.28,62.2,58.0,4562.0,6.18,6.23,3.86
0.92,Premium,E,SI1,40354,0.95,59.8,59.0,4562.0,6.33,6.37,3.8
0.92,Very Good,E,SI1,47453,0.9,62.1,58.0,4562.0,6.15,6.22,3.84
0.9,Premium,E,VS2,36656,3.39,63.0,57.0,4562.0,6.15,6.07,3.85
0.9,Premium,E,VS2,34272,4.63,60.6,53.0,4562.0,6.3,6.27,3.81
1.22,Premium,I,VS2,34493,3.11,61.6,59.0,4562.0,6.86,6.81,4.21
1.01,Very Good,E,SI1,43007,2.66,61.1,57.0,4563.0,6.44,6.5,3.95
1.06,Ideal,H,SI2,32895,4.57,60.9,56.0,4563.0,6.58,6.63,4.02
1.01,Good,E,SI1,34687,1.07,64.5,56.0,4563.0,6.24,6.29,4.04
1.07,Ideal,E,SI2,36521,1.03,61.6,55.0,4564.0,6.62,6.59,4.07
1.04,Very Good,H,SI1,38240,3.89,62.8,57.0,4564.0,6.44,6.48,4.06
1.01,Very Good,D,SI2,39671,3.39,59.7,58.0,4564.0,6.55,6.61,3.93
1.01,Very Good,D,SI2,36019,1.65,61.4,60.0,4564.0,6.33,6.38,3.9
1.08,Ideal,H,SI2,47705,3.08,61.2,57.4,4564.0,6.57,6.63,4.04
1.0,Ideal,H,SI1,47314,3.44,61.4,57.0,4564.0,6.37,6.34,3.9
0.9,Very Good,G,VVS2,44434,4.9,63.0,58.0,4565.0,6.07,6.15,3.85
1.09,Ideal,J,SI1,40968,4.36,61.4,55.0,4565.0,6.61,6.67,4.08
1.04,Fair,E,SI2,38210,2.8,67.5,56.0,4566.0,6.28,6.22,4.22
1.01,Very Good,E,SI2,42309,2.24,60.9,58.0,4566.0,6.45,6.49,3.94
1.04,Ideal,G,SI2,32707,4.99,60.4,58.0,4566.0,6.56,6.62,3.98
1.01,Good,E,SI2,48829,4.39,60.2,60.0,4566.0,6.37,6.42,3.85
0.91,Good,H,VS1,45415,3.21,57.8,61.0,4566.0,6.4,6.36,3.69
0.7,Ideal,e,SI2,35760,1.93,61.8,58.0,2401.0,5.7,6.64,3.53
0.92,Ideal,H,VS2,32205,3.52,62.2,55.0,4568.0,6.21,6.27,3.88
1.06,Ideal,F,SI2,31698,1.22,60.7,57.0,4568.0,6.57,6.61,4.0
1.0,Good,H,SI1,33520,1.92,61.5,64.0,4568.0,6.38,6.41,3.93
1.0,Good,H,VS2,33209,2.25,62.7,54.0,4569.0,6.26,6.31,3.94
1.12,Premium,F,SI2,46440,2.7,60.5,59.0,4570.0,6.73,6.79,4.09
0.79,Very Good,E,VVS1,39281,3.9,62.8,60.0,4570.0,5.8,5.89,3.67
1.06,Very Good,E,SI2,30237,3.19,61.7,62.0,4570.0,6.5,6.54,4.02
1.45,Fair,J,SI2,30579,4.09,58.6,68.0,4570.0,7.45,7.33,4.34
0.91,Premium,G,VS1,34262,0.72,62.5,61.0,4570.0,6.17,6.05,3.82
1.02,Premium,F,SI2,37558,2.68,62.5,57.0,4570.0,6.47,6.43,4.03
1.06,Premium,G,SI2,37669,5.17,61.5,58.0,4571.0,6.6,6.54,4.04
1.06,Premium,G,SI2,41721,3.46,61.9,60.0,4571.0,6.53,6.52,4.04
1.12,Premium,H,SI1,42119,3.75,62.0,56.0,4572.0,6.69,6.59,4.13
1.15,Ideal,H,SI2,30851,4.73,62.6,55.0,4572.0,6.74,6.65,4.19
1.0,Good,E,SI1,42323,3.75,63.9,57.0,4573.0,6.31,6.34,4.04
1.32,Good,J,SI1,34425,4.66,63.5,57.0,4573.0,6.95,6.98,4.42
1.03,Very Good,H,SI1,31528,0.86,63.5,53.0,4573.0,6.43,6.46,4.09
1.07,Premium,F,SI2,44415,1.56,62.4,57.0,4573.0,6.58,6.53,4.09
1.0,Very Good,H,SI1,47937,2.12,62.4,58.0,4574.0,6.37,6.42,3.99
1.01,Good,H,SI1,44101,4.01,62.9,55.0,4574.0,6.35,6.41,4.01
1.21,Premium,J,SI1,43307,0.61,59.7,60.0,4574.0,6.93,6.9,4.13
0.94,Ideal,D,SI1,38761,2.26,62.3,57.0,4575.0,6.24,6.29,3.9
1.01,Very Good,E,SI2,44795,1.6,62.2,58.0,4575.0,6.36,6.43,3.98
1.0,Very Good,E,SI2,32635,4.66,60.6,60.0,4576.0,6.33,6.4,3.86
1.12,VERY GOOD,h,SI1,47859,3.11,61.8,56.0,2401.0,6.62,6.59,3.53
1.02,Ideal,F,SI2,42681,4.16,61.4,56.0,4578.0,6.47,6.5,3.98
1.06,Ideal,G,SI2,37006,4.42,61.0,57.0,4578.0,6.56,6.61,4.02
1.11,Ideal,H,SI2,46498,2.05,62.7,57.0,4578.0,6.59,6.66,4.14
1.11,Ideal,H,SI2,34210,3.1,62.0,54.0,4578.0,6.61,6.64,4.11
1.11,Ideal,H,SI2,35893,4.92,61.3,55.0,4578.0,6.65,6.73,4.1
1.11,Premium,H,SI2,37956,4.6,61.6,60.0,4578.0,6.6,6.67,4.09
1.09,Premium,H,SI2,48617,1.85,61.7,60.0,4578.0,6.59,6.57,4.06
1.09,Premium,H,SI2,32598,3.69,62.1,55.0,4578.0,6.63,6.58,4.1
1.01,Premium,H,SI1,32018,4.8,60.5,58.0,4578.0,6.47,6.39,3.89
0.9,Very Good,D,SI1,42937,4.53,62.5,59.0,4579.0,6.11,6.15,3.83
0.9,Ideal,D,SI1,45986,4.02,62.5,57.0,4579.0,6.12,6.2,3.85
1.18,Premium,I,SI2,40288,4.95,60.8,58.0,4579.0,6.84,6.78,4.14
1.03,Premium,F,SI1,46772,4.88,60.9,60.0,4579.0,6.52,6.45,3.95
0.9,Premium,G,VS1,39536,2.08,62.7,58.0,4579.0,6.15,6.06,3.83
1.0,Premium,E,SI2,43603,0.67,62.7,58.0,4579.0,6.41,6.34,4.0
1.0,Very Good,E,SI2,31563,3.64,63.3,58.0,4579.0,6.35,6.32,4.01
1.27,Premium,J,VS2,43222,3.54,62.2,58.0,4580.0,6.88,6.84,4.27
0.9,Very Good,E,VS2,30695,4.4,59.1,62.0,4580.0,6.24,6.28,3.7
0.7,MAYBE,TRUE,VS1,40950,4.75,63.5,57.0,2401.0,5.7,6.09,3.86
0.9,Very Good,E,VS2,34354,2.57,62.2,59.0,4580.0,6.13,6.18,3.83
0.7,Ideal,FALSE,VS2,40015,3.53,63.1,57.0,2401.0,5.7,5.71,3.53
0.9,Very Good,E,VS2,36508,2.31,62.9,57.0,4580.0,6.16,6.18,3.88
1.2,Very Good,J,SI2,30874,1.88,61.8,60.0,4580.0,6.76,6.83,4.2
1.03,Very Good,D,SI2,40844,4.07,63.7,56.0,4580.0,6.32,6.39,4.05
1.0,Ideal,H,SI2,32347,1.28,62.0,55.0,4580.0,6.39,6.43,3.98
0.94,Premium,E,SI1,40593,3.78,62.0,58.0,4580.0,6.27,6.24,3.88
0.94,Premium,E,SI1,38960,4.46,60.0,58.0,4580.0,6.44,6.37,3.84
0.94,Premium,E,SI1,42337,3.84,62.4,56.0,4580.0,6.27,6.24,3.9
1.11,Premium,E,SI2,31655,4.0,62.5,58.0,4581.0,6.61,6.63,4.14
1.01,Very Good,E,SI2,33101,4.11,63.3,58.0,4581.0,6.37,6.3,4.01
1.0,Good,I,VS1,32167,3.58,63.9,56.0,4581.0,6.37,6.18,4.01
1.03,Ideal,G,SI2,45637,3.18,61.8,55.0,4582.0,6.46,6.51,4.01
1.03,Good,J,VS1,30255,4.45,60.1,62.4,4582.0,6.43,6.49,3.88
1.24,TRUE,TRUE,SI2,42672,3.71,62.2,57.0,4583.0,6.82,5.71,3.53
1.02,Premium,D,SI2,36905,2.09,59.3,60.0,4583.0,6.56,6.52,3.88
1.02,Very Good,D,SI2,38292,1.34,58.6,63.0,4583.0,6.56,6.54,3.84
1.09,Very Good,I,SI2,36379,2.76,62.5,57.0,4584.0,6.56,6.58,4.11
1.11,Very Good,H,SI2,45985,2.0,59.0,59.0,4584.0,6.79,6.82,4.02
0.9,Ideal,H,VS2,46883,1.09,59.9,57.0,4584.0,6.27,6.31,3.77
1.13,Ideal,H,SI2,40660,4.14,62.5,57.0,4584.0,6.67,6.71,4.18
1.01,Ideal,I,SI1,36052,4.67,62.4,56.0,4584.0,6.36,6.4,3.98
1.07,Premium,G,SI2,41001,2.55,62.1,59.0,4584.0,6.54,6.48,4.04
1.03,Ideal,G,SI1,40588,3.89,59.7,57.0,4585.0,6.6,6.64,3.95
1.02,Ideal,E,SI2,36169,2.32,62.7,57.0,4585.0,6.35,6.44,4.01
0.7,Ideal,G,FALSE,32869,3.12,61.2,57.0,2401.0,6.63,5.71,3.53
1.09,Ideal,G,SI2,42807,1.07,62.1,56.0,4586.0,6.59,6.66,4.12
1.16,Very Good,I,SI1,34205,2.23,62.9,58.0,4586.0,6.64,6.69,4.19
1.0,good,F,TRUE,41689,3.38,63.6,57.0,4586.0,5.7,5.71,3.53
0.32,Ideal,D,SI1,44050,3.07,61.3,55.0,589.0,4.39,4.42,2.7
0.32,Very Good,D,SI1,42329,2.28,62.8,56.0,589.0,4.37,4.42,2.76
0.32,Premium,D,SI1,38016,2.56,61.5,59.0,589.0,4.39,4.42,2.71
0.32,Ideal,D,SI1,38488,4.19,61.3,57.0,589.0,4.37,4.41,2.69
0.32,Ideal,D,SI1,48652,3.72,61.4,57.0,589.0,4.41,4.42,2.71
0.32,good,G,FALSE,31661,3.74,61.8,57.0,589.0,4.37,4.38,2.76
0.32,Good,D,SI1,33973,1.42,63.1,56.0,589.0,4.34,4.38,2.75
0.32,Good,D,SI1,37669,0.77,63.7,55.0,589.0,4.35,4.38,2.78
0.32,Ideal,D,SI1,44323,2.13,62.7,54.0,589.0,4.37,4.4,2.75
0.32,Very Good,D,SI1,45680,1.37,58.3,58.0,589.0,4.49,4.54,2.63
0.7,VERY GOOD,G,SI1,46335,4.75,62.8,57.0,589.0,4.34,5.71,2.73
0.32,Premium,D,SI1,30939,1.35,61.3,60.0,589.0,4.41,4.43,2.71
0.32,Premium,D,SI1,43108,1.35,60.8,58.0,589.0,4.41,4.44,2.69
0.32,Ideal,D,SI1,34070,2.63,61.9,57.0,589.0,4.36,4.4,2.71
0.32,Ideal,I,VVS1,33156,4.74,62.5,55.0,589.0,4.37,4.4,2.74
0.32,Premium,D,SI1,46008,3.89,60.2,58.0,589.0,4.4,4.43,2.66
0.32,Premium,D,SI1,32033,0.65,60.4,58.0,589.0,4.44,4.47,2.69
0.32,Very Good,I,VVS1,42075,4.89,63.0,58.0,589.0,4.32,4.38,2.74
0.32,Ideal,D,SI1,33023,4.81,62.0,57.0,589.0,4.38,4.42,2.73
0.7,Ideal,G,VVS1,42387,3.79,61.7,55.0,589.0,4.39,4.4,2.71
0.36,Premium,G,VS2,40485,4.1,62.5,58.0,589.0,4.51,4.55,2.83
0.32,Good,D,SI1,37607,3.78,63.5,55.0,589.0,4.31,4.35,2.75
0.7,ideal,D,FALSE,45394,2.19,62.0,55.0,2401.0,5.7,4.47,2.74
0.32,Very Good,D,SI1,39910,0.84,58.9,60.0,589.0,4.47,4.49,2.64
0.32,Ideal,D,SI1,39979,3.62,61.5,56.0,589.0,4.39,4.42,2.71
0.32,Good,D,SI1,45733,0.65,63.6,56.0,589.0,4.34,4.37,2.77
0.32,Good,D,SI1,45544,1.67,63.3,57.0,589.0,4.37,4.38,2.77
0.32,Good,D,SI1,39323,1.14,63.8,56.0,589.0,4.33,4.35,2.77
0.32,Ideal,D,SI1,48984,4.35,62.5,54.0,589.0,4.39,4.41,2.75
0.32,Good,D,SI1,44455,3.72,63.2,54.0,589.0,4.36,4.38,2.76
1.0,Premium,F,SI1,48983,1.49,61.4,60.0,4586.0,6.38,6.35,3.91
0.9,Premium,D,VS2,33868,1.2,63.0,62.0,4586.0,6.13,6.06,3.84
1.17,Good,I,SI1,48816,4.09,60.0,64.0,4586.0,6.91,6.83,4.12
1.0,Good,F,SI1,40185,4.78,64.1,60.0,4586.0,6.25,6.19,3.99
1.0,Fair,F,SI1,41451,4.08,64.8,58.0,4586.0,6.26,6.21,4.04
1.03,Ideal,F,SI2,31980,3.75,60.5,58.0,4586.0,6.55,6.49,3.94
1.26,Premium,H,SI2,42966,3.08,62.0,56.0,4586.0,6.92,6.88,4.28
1.0,Very Good,F,SI1,40652,1.18,58.1,63.0,4586.0,6.45,6.36,3.72
1.03,Premium,F,SI2,40376,1.59,60.7,60.0,4586.0,6.52,6.47,3.94
1.03,Premium,F,SI2,34144,1.39,61.4,57.0,4586.0,6.6,6.53,4.03
1.05,Ideal,H,SI2,34083,2.02,61.9,56.0,4586.0,6.56,6.49,4.04
1.03,Premium,F,SI2,30057,3.64,62.4,59.0,4586.0,6.45,6.38,4.0
1.0,Good,F,SI1,37247,4.96,63.8,58.0,4586.0,6.28,6.22,3.99
1.0,Premium,F,SI1,45638,2.71,62.2,58.0,4586.0,6.39,6.35,3.96
0.91,Very Good,D,SI1,38718,3.64,63.1,59.0,4586.0,6.14,6.1,3.86
1.03,Premium,F,SI2,38756,4.87,61.6,58.0,4586.0,6.46,6.43,3.97
1.0,Premium,F,SI1,41351,2.96,62.9,57.0,4586.0,6.37,6.32,3.99
0.92,Ideal,I,VS1,30102,4.2,62.3,55.0,4587.0,6.24,6.28,3.9
0.92,Ideal,H,SI1,36982,2.42,61.6,56.0,4587.0,6.21,6.25,3.84
0.9,Very Good,H,VS2,47645,3.4,62.3,59.0,4588.0,6.13,6.17,3.83
1.01,Very Good,J,VS1,41558,4.22,59.5,59.0,4588.0,6.54,6.6,3.91
1.01,Very Good,D,SI2,36653,4.21,62.2,60.0,4588.0,6.4,6.43,3.99
1.01,Very Good,G,SI1,47202,5.05,62.9,61.0,4588.0,6.36,6.4,4.01
1.01,Good,D,SI2,37398,3.7,63.9,57.0,4588.0,6.29,6.36,4.04
1.01,Good,G,SI1,45523,4.07,63.6,57.0,4588.0,6.33,6.37,4.04
1.01,Very Good,D,SI2,41135,1.89,58.3,59.0,4588.0,6.63,6.67,3.88
1.01,Very Good,G,SI1,31458,3.74,62.9,54.0,4588.0,6.41,6.47,4.05
